výhoneček	<	výhonek
záhonek	<	záhon
záhoneček	<	záhonek
záhůnek	<	záhon
hnízdečko	<	hnízdo
hnojivka	<	hnojivo
hoblík	<	hobl
hoblinka	<	hoblina
hošek	<	hoch
hodinka	<	hodina
hodinky	<	hodiny
hoďka	<	hodina
nehodovka	<	nehoda
pohodička	<	pohoda
pohodlíčko	<	pohodlí
výhodička	<	výhoda
holička	<	hole
holoubek	<	holub
holoubátko	<	holoubě
holubička	<	holubice
holinka	<	holina
holčička	<	holka
homolka	<	homole
horka	<	hora
pahoreček	<	pahorek
pohoříčko	<	pohoří
hornička	<	horna
hororek	<	horor
hospodyňka	<	hospodyně
hospodářstvíčko	<	hospodářství
hospůdka	<	hospoda
hostinka	<	hostina
hotýlek	<	hotel
hubička	<	hubka
houfek	<	houf
huňáček	<	huňáč
houstička	<	houska
housličky	<	housle
hudeček	<	hudec
houžvička	<	houžev
hovádko	<	hovado
hovínko	<	hovno
pohovička	<	pohova
hořáček	<	hořák
hořeček	<	hořec
hrabička	<	hrabice
hrabošík	<	hraboš
hrobařík	<	hrobař
hrabičky	<	hrábě
hřebínek	<	hřeben
pohrabáček	<	pohrabáč
hrádek	<	hrad
hrádeček	<	hrádek
ohrádka	<	ohrada
přehrádka	<	přehrada
výhradička	<	výhrada
zahrádka	<	zahrada
zahrádečka	<	zahrádka
zahradníček	<	zahradník
hranička	<	hranice
hranolek	<	hranol
hrazdička	<	hrazda
hrbáček	<	hrbáč
hrbolek	<	hrbol
hrdlička	<	hrdlo
hrdélko	<	hrdlo
hrdýlko	<	hrdlo
hrnek	<	hrnec
hrneček	<	hrnek
hrnéček	<	hrnek
hrníček	<	hrnek
kafáček	<	kafáč
kameňáček	<	kameňák
úhrnek	<	úhrn
hrošík	<	hroch
hromádka	<	hromada
hrotek	<	hrot
hrudka	<	hrouda
hrozinka	<	hrozen
hrstka	<	hrst
hrstička	<	hrstka
hrudníček	<	hrudník
hruštička	<	hruška
hrachovinka	<	hrachovina
hrášek	<	hrách
zpěvohříčka	<	zpěvohra
hřišťátko	<	hřiště
kazeťáček	<	kazeťák
výhřička	<	výhra
hrázka	<	hráz
hrobeček	<	hrůbek
hrozbička	<	hrozba
hroznýšek	<	hroznýš
hubinka	<	huba
housátko	<	house
husička	<	husa
husárek	<	husar
huseníček	<	huseník
houštinka	<	houština
hvozdík	<	hvozd
hvězdička	<	hvězda
hvězdka	<	hvězda
hvězdárnička	<	hvězdárna
pohádečka	<	pohádka
záhadička	<	záhada
hájek	<	háj
háječek	<	hájek
háček	<	hák
hřbítek	<	hřbet
hřbitůvek	<	hřbitov
hřebík	<	hřeb
hřebíček	<	hřebík
hříbek	<	hřib
hříbeček	<	hříbek
hromnička	<	hromnice
hřebeček	<	hřebec
hříbátko	<	hříbě
hříšek	<	hřích
hřídelka	<	hřídel
hřívečka	<	hříva
hůlka	<	hůl
hůlčička	<	hůlka
hůrka	<	hůra
idylka	<	idyla
ikonka	<	ikona
iniciálka	<	iniciála
intelektuálek	<	intelektuál
internacionálka	<	internacionál
intrikánek	<	intrikán
inzerátek	<	inzerát
inženýrek	<	inženýr
irbisek	<	irbis
jabloňka	<	jabloň
jablůňka	<	jabloň
jablíčko	<	jablko
jahodka	<	jahoda
jahůdka	<	jahoda
jalovička	<	jalovice
jarmárka	<	jarmara
jarka	<	jaro
jatelinka	<	jatelina
javůrek	<	javor
jazýček	<	jazyk
jedlička	<	jedle
pojednáníčko	<	pojednání
jednotka	<	jednota
jehelníček	<	jehelník
jehlánek	<	jehlan
jehlička	<	jehla
jehnička	<	jehnice
jehňátko	<	jehně
jelínek	<	jelen
jelimánek	<	jeliman
jelítko	<	jelito
jemnůstka	<	jemnost
jeskyňka	<	jeskyně
jesličky	<	jesle
jespáček	<	jespák
jetelinka	<	jetelina
jetýlek	<	jetel
jevišťátko	<	jeviště
jezírko	<	jezero
jezevčátko	<	jezevče
jezevčík	<	jezevec
ječmínek	<	ječmen
jeřabinka	<	jeřabina
ještěřička	<	ještěrka
ježeček	<	ježek
jiskérka	<	jiskra
jiskřička	<	jiskra
jizbička	<	jizba
jizvička	<	jizva
jiřinka	<	jiřina
nájemníček	<	nájemník
snímeček	<	snímek
zajateček	<	zajatec
zájmeček	<	zájem
zájmiček	<	zájem
jolka	<	jola
jupička	<	jupka
jaderníček	<	jaderník
jamčička	<	jamka
jamička	<	jamka
jitrnička	<	jitrnice
jídelníček	<	jídelník
jílek	<	jíl
jídelnička	<	jídelna
důchodek	<	důchod
chodbička	<	chodba
chodníček	<	chodník
obchodníček	<	obchodník
obchůdek	<	obchod
obchůdeček	<	obchůdek
nedochůdčátko	<	nedochůdče
schůzka	<	schůze
schodek	<	schod
schodeček	<	schodek
schodišťátko	<	schodiště
schůdek	<	schod
schůdeček	<	schůdek
záchodek	<	záchod
kablík	<	kabel
kabelka	<	kabela
kabinka	<	kabina
